"EDNAME,C,80",2022 Population
Tedavnet,1008
Tehallan,905
Tullycorbet,658
Carlow Urban,5049
Graigue Urban,1655
Clonmore,548
Hacketstown,1226
Haroldstown,314
Kineagh,371
Rahill,792
Rathvilly,931
Tiknock,348
Williamstown,327
Agha,419
Ballinacarrig,1122
Ballintemple,599
Ballon,788
Ballyellin,451
Ballymoon,351
Borris,1084
Burton Hall,529
Carlow Rural,16203
Clogrenan,1138
Clonegall,1105
Corries,560
Cranemore,1218
Fennagh,857
Garryhill,648
Grangeford,589
Johnstown,610
Kellistown,982
Kilbride,458
Killedmond,458
Killerrig,395
Leighlinbridge,1679
Muinebeag (Bagenalstown) Rural,719
Muinebeag (Bagenalstown) Urban,2945
Myshall,603
Nurney,893
Oldleighlin,606
Rathanna,137
Rathornan,438
Rathrush,1139
Ridge,298
Shangarry,568
Sliguff,559
Tankardstown,487
Templepeter,470
Tullowbeg,618
Tullow Rural,952
Tullow Urban,4397
Ballymurphy,282
Coonogue,211
Glynn,395
Kyle,360
Marley,433
Tinnahinch,654
Arran Quay A,1784
Arran Quay B,5529
Arran Quay C,4646
Arran Quay D,3308
Arran Quay E,3377
Ashtown A,12094
Ashtown B,2843
Ayrfield,5863
Ballybough A,4004
Ballybough B,4184
Ballygall A,3602
Ballygall B,1930
Ballygall C,3646
Ballygall D,2526
Ballymun A,5735
Ballymun B,4273
Ballymun C,5729
Ballymun D,2551
Ballymun E,1674
Ballymun F,2359
Beaumont A,2668
Beaumont B,5103
Beaumont C,3382
Beaumont D,2085
Beaumont E,1941
Beaumont F,3893
Botanic A,3331
Botanic B,3606
Botanic C,2362
Cabra East A,5910
Cabra East B,3746
Cabra East C,4239
Cabra West A,1441
Cabra West B,2646
Cabra West C,2883
Cabra West D,2816
Clontarf East A,3626
Clontarf East B,7204
Clontarf East C,3189
Clontarf East D,2859
Clontarf East E,1748
Clontarf West A,3758
Clontarf West B,2395
Clontarf West C,4130
Clontarf West D,2530
Clontarf West E,2483
Drumcondra South A,5923
Drumcondra South B,1889
Drumcondra South C,3337
Edenmore,2831
Finglas North A,3205
Finglas North B,2922
Finglas North C,3678
Finglas South A,2909
Finglas South B,4457
Finglas South C,2566
Finglas South D,2543
Grace Park,6272
Grange A,12598
Grange B,7438
Grange C,3086
Grange D,3952
Grange E,2578
Harmonstown A,2848
Harmonstown B,2921
Inns Quay A,4033
Inns Quay B,4537
Inns Quay C,3087
Kilmore A,3678
Kilmore B,2546
Kilmore C,1413
Kilmore D,2149
Mountjoy A,7374
Mountjoy B,4537
North City,6749
North Dock A,1406
North Dock B,10173
North Dock C,4328
Phoenix Park,1465
Priorswood A,1574
Priorswood B,2794
Priorswood C,4883
Priorswood D,2653
Priorswood E,2771
Raheny-Foxfield,2553
Raheny-Greendale,2262
Raheny-St. Assam,3919
Rotunda A,6528
Rotunda B,3589
Whitehall A,3117
Whitehall B,4371
Whitehall C,2908
Whitehall D,3279
Chapelizod,3397
Cherry Orchard A,3465
Carna,2897
Cherry Orchard C,4815
Crumlin A,3657
Crumlin B,3019
Crumlin C,2364
Crumlin D,4190
Crumlin E,2916
Crumlin F,3141
Decies,2713
Drumfinn,3632
Inchicore A,2557
Inchicore B,2728
Kilmainham A,2646
Kilmainham B,2638
Kilmainham C,4956
Kimmage A,1903
Kimmage B,3533
Kimmage C,3738
Kimmage D,2533
Kimmage E,3500
Kylemore,2557
Mansion House A,4298
Mansion House B,1021
Merchants Quay A,2749
Merchants Quay B,4343
Merchants Quay C,3814
Merchants Quay D,2575
Merchants Quay E,2651
Merchants Quay F,2328
Pembroke East A,5017
Pembroke East B,3852
Pembroke East C,4179
Pembroke East D,5368
Pembroke East E,3924
Pembroke West A,5144
Pembroke West B,3214
Pembroke West C,4385
Rathfarnham,5768
Rathmines East A,4979
Rathmines East B,5705
Rathmines East C,3484
Rathmines East D,2755
Rathmines West A,6115
Rathmines West B,3818
Rathmines West C,2857
Rathmines West D,3222
Rathmines West E,3712
Rathmines West F,2943
Royal Exchange A,5063
Royal Exchange B,2213
St. Kevin's,5732
South Dock,8320
Terenure A,3982
Terenure B,3746
Terenure C,1881
Terenure D,782
Ushers A,5117
Ushers B,1903
Ushers C,4069
Ushers D,2390
Ushers E,1859
Ushers F,3461
Walkinstown A,2947
Walkinstown B,2014
Walkinstown C,2481
Wood Quay A,2871
Wood Quay B,3907
Ballinascorney,874
Ballyboden,5246
Bohernabreena,5672
Clondalkin-Ballymount,2320
Clondalkin-Cappaghmore,2445
Clondalkin-Dunawley,11298
Clondalkin-Monastery,11357
Clondalkin-Moorfield,7024
Clondalkin-Rowlagh,4106
Clondalkin Village,9388
Edmondstown,5685
Firhouse-Ballycullen,10522
Firhouse-Knocklyon,3510
Firhouse Village,12254
Lucan-Esker,33849
Lucan Heights,5131
Lucan-St. Helen's,16805
Newcastle,5552
Palmerston Village,3689
Palmerston West,7323
Rathcoole,6590
Rathfarnham-Ballyroan,2743
Rathfarnham-Butterfield,3290
Rathfarnham-Hermitage,4378
Rathfarnham-St. Enda's,3952
Rathfarnham Village,3145
Saggart,6248
Tallaght-Avonbeg,1543
Tallaght-Belgard,1635
Tallaght-Fettercairn,11335
Tallaght-Glenview,2171
Tallaght-Jobstown,18125
Tallaght-Killinardan,3878
Tallaght-Kilnamanagh,4394
Tallaght-Kiltipper,9432
Tallaght-Kingswood,4291
Tallaght-Millbrook,3338
Tallaght-Oldbawn,4445
Tallaght-Springfield,11297
Tallaght-Tymon,5138
Templeogue-Cypress,2807
Templeogue-Kimmage Manor,4929
Templeogue-Limekiln,3821
Templeogue-Orwell,1991
Templeogue-Osprey,2258
Templeogue Village,2270
Terenure-Cherryfield,2229
Terenure-Greentrees,2948
Terenure-St. James,2404
Airport,6152
Balbriggan Rural,19347
Balbriggan Urban,8102
Baldoyle,8096
Balgriffin,5544
Ballyboghil,1629
Balscadden,743
Blanchardstown-Abbotstown,6551
Blanchardstown-Blakestown,43905
Blanchardstown-Coolmine,11271
Blanchardstown-Corduff,3689
Blanchardstown-Delwood,5144
Blanchardstown-Mulhuddart,4219
Blanchardstown-Roselawn,1647
Blanchardstown-Tyrrelstown,3343
Castleknock-Knockmaroon,20967
Castleknock-Park,6355
Clonmethan,933
Donabate,11783
Dubber,8931
Garristown,1801
Hollywood,1476
Holmpatrick,4147
Howth,8399
Kilsallaghan,2406
Kinsaley,11470
Lucan North,1765
Lusk,10774
Malahide East,8406
Malahide West,6014
Portmarnock North,4048
